Gender,YOB,Status,Type,Brand,Model,OS,Vendor,Week,Revenue
MALE,1955,ACTIVE,Prepaid,SAMSUNG,GALAXY J1 ACE DUOS (SM-J111F DS),Android,Google,32,18.81
MALE,1973,ACTIVE,Prepaid,SYMPHONY,I10,Android,Google,32,19.30
FEMALE,1966,ACTIVE,Prepaid,LAVA,IRIS 50,Android,Google,32,19.79
MALE,1990,ACTIVE,Prepaid,SAMSUNG,GALAXY NOTE 4 (USA),Android,Google,32,19.80
MALE,1990,ACTIVE,Prepaid,ALCATEL,20 08 (2008D),Android,Google,32,19.84
MALE,1986,ACTIVE,Prepaid,SAMSUNG,GALAXY J7 PRIME (SM-G610F DS),Android,Google,32,19.86
MALE,1970,ACTIVE,Prepaid,SYMPHONY,V46,Android,Google,32,19.92
MALE,1982,ACTIVE,Prepaid,APPLE,IPHONE 7 PLUS (A1784),iOS,Apple,32,19.98
FEMALE,1984,ACTIVE,Prepaid,NOKIA,E52,Series60,Symbian,32,20.26
MALE,1992,ACTIVE,Prepaid,SYMPHONY,V46,Android,Google,32,20.32
MALE,1987,ACTIVE,Prepaid,AG-TEL,A-6,Proprietary OS,Proprietary OS,32,20.49
MALE,1962,ACTIVE,Prepaid,HUAWEI,Y5II (CUN-L03),Android,Google,32,22.03
FEMALE,1980,ACTIVE,Prepaid,WALTON,PRIMO NX4,Android,Google,32,22.36
MALE,1983,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 (SM-J200H),Android,Google,32,24.59
MALE,1952,ACTIVE,Prepaid,SAMSUNG,GALAXY CORE II DUOS (SM-G355H),Android,Google,33,0.51
MALE,1963,ACTIVE,Prepaid,MOTOROLA,"ASANTI,PHOTON,XT897,SPYDER,DROIDRAZR,XT912",Android,Google,33,1.31
FEMALE,1979,ACTIVE,Prepaid,APPLE,IPHONE 8 PLUS (A1864),iOS,Apple,33,1.62
MALE,1967,ACTIVE,Prepaid,SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS,33,1.65
MALE,1992,ACTIVE,Prepaid,HUAWEI,Y3II (LUA-U22),Android,Google,33,1.90
FEMALE,1978,ACTIVE,Prepaid,HUAWEI,Y3II (LUA-L03),Android,Google,33,1.97
MALE,1993,ACTIVE,Prepaid,SAMSUNG,SM-J600F DS,Samsung OS,Samsung,33,2.20
MALE,1982,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google,33,2.54
MALE,1972,ACTIVE,Prepaid,SYMPHONY,V65,Android,Google,33,2.94
FEMALE,1972,ACTIVE,Prepaid,LAVA,IRIS 505,Android,Google,33,3.07
MALE,1957,ACTIVE,Prepaid,LENOVO,VIBE P1M DUAL SIM TD-LTE,Android,Google,33,3.19
MALE,1992,ACTIVE,Prepaid,SYMPHONY,V46,Android,Google,33,3.28
MALE,1992,ACTIVE,Prepaid,SAMSUNG,GALAXY J7 DUOS LTE (SM-J710F DS),Android,Google,33,3.81
FEMALE,1973,ACTIVE,Prepaid,ITEL,IT1409,Android,Google,33,4.15
MALE,1966,ACTIVE,Prepaid,WALTON,PRIMO GH7,Android,Google,33,4.18
MALE,1963,ACTIVE,Prepaid,SAMSUNG,GALAXY ON7 PRO (SM-G615F DS),Android,Google,33,4.55
FEMALE,1989,ACTIVE,Prepaid,SAMSUNG,GALAXY J1 (SM-J110HDS),Android,Google,33,4.74
MALE,1970,ACTIVE,Prepaid,NOKIA,"105, 1050 (RM-908)",Series30,Symbian,33,5.02
MALE,1961,ACTIVE,Prepaid,SAMSUNG,METRO SM-B350ED,Samsung OS,Samsung,33,5.10
MALE,1989,ACTIVE,Prepaid,XIAOMI,REDMI 5 PLUS,Android,Google,33,5.22
MALE,1965,ACTIVE,Prepaid,SAMSUNG,GALAXY CORE PRIME TD-LTE (SM-G360M),Android,Google,33,5.24
MALE,1988,ACTIVE,Prepaid,SYMPHONY,V47,Android,Google,33,5.66
FEMALE,1968,ACTIVE,Prepaid,ONEPLUS,3 (A3000),Android,Google,33,5.80
MALE,1970,ACTIVE,Prepaid,WALTON,"OLVIO ML4, L16, ML5, MM11, MM12",Proprietary OS,Proprietary OS,33,5.82
MALE,1978,ACTIVE,Prepaid,OPPO,A37 (A37FW),Android,Google,33,6.15
MALE,1984,ACTIVE,Prepaid,VIVO,V5 (1601),Android,Google,33,6.29
MALE,1957,ACTIVE,Prepaid,GREYMARKET,HANDSET,Proprietary OS,Proprietary OS,33,7.06
FEMALE,1974,ACTIVE,Prepaid,ITEL,S12,Android,Google,33,7.11
MALE,1967,ACTIVE,Prepaid,NOKIA,2 DS (TA-1029),Android,Google,33,7.26
MALE,1985,ACTIVE,Prepaid,SAMSUNG,GALAXY C7 (SM-C701F DS),Android,Google,33,7.31
MALE,1997,ACTIVE,Prepaid,ITEL,A11,Android,Google,33,7.33
MALE,1981,ACTIVE,Prepaid,ITEL,IT1513,Android,Google,33,7.35
MALE,1991,ACTIVE,Prepaid,ZTE,MF65,Proprietary OS,Proprietary OS,33,7.39
MALE,1995,ACTIVE,Prepaid,ASUS,ZENFONE 3 MAX (ZC520TL),Android,Google,33,7.62
MALE,1980,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 (SM-J200H),Android,Google,33,7.71
MALE,1983,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 (SM-J200H),Android,Google,33,7.90
MALE,1962,ACTIVE,Prepaid,SYMPHONY,I50,Android,Google,33,7.93
FEMALE,1972,ACTIVE,Prepaid,LAVA,R1,Android,Google,33,8.13
MALE,1986,ACTIVE,Prepaid,KINGSTAR,"KS - E300, KS - E400,KS-C1,KS-C2,KS-C3",Proprietary OS,Proprietary OS,33,8.15
MALE,1989,ACTIVE,Prepaid,SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google,33,8.23
MALE,1985,ACTIVE,Prepaid,SAMSUNG,GALAXY J1(SM-J120G-DS),Android,Google,33,8.85
FEMALE,1975,ACTIVE,Prepaid,NOKIA,6 DS (TA-1021),Android,Google,33,8.96
MALE,1990,ACTIVE,Prepaid,SAMSUNG,GALAXY J1 (SM-J100H DS),Android,Google,33,8.97
MALE,1986,ACTIVE,Prepaid,SAMSUNG,GALAXY J5 2016 (SM-J510GN DS),Android,Google,33,9.12
FEMALE,1977,ACTIVE,Prepaid,SYMPHONY,I10 PLUS,Android,Google,33,9.80
FEMALE,1963,ACTIVE,Prepaid,QUECTEL WIRELESS,M35 SERIES,Proprietary OS,Proprietary OS,33,9.86
MALE,1964,ACTIVE,Prepaid,SAMSUNG,GALAXY STAR PRO DUOS (GT-S7262),Android,Google,33,10.10
FEMALE,1993,ACTIVE,Prepaid,SAMSUNG,GALAXY J7 PRIME2 (SM-G611F DS),Android,Google,33,10.19
MALE,1992,ACTIVE,Prepaid,HTC,DESIRE EYE 4G LTE NA (0PFH110),Android,Google,33,10.22
MALE,1991,ACTIVE,Prepaid,PEACE,"P60,P70,P80,P90,P100",Proprietary OS,Proprietary OS,33,10.33
MALE,1978,ACTIVE,Prepaid,SAMSUNG,GALAXY J7 DUOS LTE (SM-J700FDD),Android,Google,33,10.45
MALE,1947,ACTIVE,Prepaid,SAMSUNG,"GALAXY S DUOS (GT-S7562,GT-S7566)",Android,Google,33,10.57
MALE,1957,ACTIVE,Prepaid,SAMSUNG,GALAXY J4 2018 (SM-J400F DS),Android,Google,33,10.58
MALE,1985,ACTIVE,Prepaid,JIN HUI MA,MARS2,Android,Google,33,10.74
MALE,1988,ACTIVE,Prepaid,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung,33,10.84
MALE,1988,ACTIVE,Prepaid,SONY,XPERIA XA (F3112),Android,Google,33,10.96
MALE,1993,ACTIVE,Prepaid,SYMPHONY,V110,Android,Google,33,11.03
MALE,1975,ACTIVE,Prepaid,SUNUP,SPN266,Proprietary OS,Proprietary OS,33,11.12
FEMALE,1989,ACTIVE,Prepaid,NOKIA,XL (RM-1030),Android,Google,33,11.22
FEMALE,1989,ACTIVE,Prepaid,LAVA,IRIS 60,Android,Google,33,11.28
FEMALE,1986,ACTIVE,Prepaid,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung,33,11.74
MALE,1977,ACTIVE,Prepaid,WALTON,PRIMO GH7,Android,Google,33,11.89
MALE,1990,ACTIVE,Prepaid,ITEL,S11,Android,Google,33,11.91
MALE,1988,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google,33,11.99
FEMALE,1971,ACTIVE,Prepaid,OPPO,CPH1729,Android,Google,33,12.03
MALE,1972,ACTIVE,Prepaid,HUAWEI,Y3 2017 (CRO-L22),Android,Google,33,12.04
MALE,1992,ACTIVE,Prepaid,WINSTAR,"W666,W777,W888,W999,W1000",Proprietary OS,Proprietary OS,33,12.05
MALE,1990,ACTIVE,Prepaid,SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS,33,12.30
MALE,1988,ACTIVE,Prepaid,SYMPHONY,I10,Android,Google,33,12.31
MALE,1991,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 2016 (SM-J210F),Android,Google,33,12.36
MALE,1989,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND II DUOS (SM-G7102),Android,Google,33,12.48
FEMALE,1991,ACTIVE,Prepaid,SYMPHONY,"L25, FT42, W130, W69",Proprietary OS,Proprietary OS,33,12.73
MALE,1971,ACTIVE,Prepaid,SAMSUNG,GALAXY A5 (SM-A500F),Android,Google,33,12.81
FEMALE,1987,ACTIVE,Prepaid,SAMSUNG,GALAXY J7 DUOS (SM-J720F DS),Android,Google,33,13.02
MALE,1986,ACTIVE,Prepaid,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung,33,13.25
MALE,1957,ACTIVE,Prepaid,ERICSSON,BYTWO B101,Symbian OS,Symbian,33,13.38
FEMALE,1969,ACTIVE,Prepaid,SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung,33,13.40
MALE,1961,ACTIVE,Prepaid,SAMSUNG,GALAXY ACE STYLE (SM-G313HZ),Android,Google,33,13.58
MALE,1956,ACTIVE,Prepaid,HUAWEI,ASCEND Y511-U30,Android,Google,33,13.90
FEMALE,1988,ACTIVE,Prepaid,SONY,XPERIA X (F5122),Android,Google,33,13.94
MALE,1987,ACTIVE,Prepaid,NOKIA,107 DUAL SIM,Symbian OS,Symbian,33,14.13
MALE,1988,ACTIVE,Prepaid,OPPO,MIRROR 5 LITE (A33W),Android,Google,33,14.19
MALE,1989,ACTIVE,Prepaid,QUECTEL WIRELESS,"M26,M35,M50,M72,GC65",Proprietary OS,Proprietary OS,33,14.29
MALE,1985,ACTIVE,Prepaid,SYMPHONY,R100,Android,Google,33,14.62
MALE,1975,ACTIVE,Prepaid,SAMSUNG,GALAXY S IV (GT-I9505),Android,Google,33,14.65
MALE,1986,ACTIVE,Prepaid,XIAOMI,REDMI 5 PLUS (MEG7),Android,Google,33,14.72
MALE,1951,ACTIVE,Prepaid,SB TEL,"SYMPHONY B12, D115",Proprietary OS,Proprietary OS,33,14.75
FEMALE,1988,ACTIVE,Prepaid,NOKIA,130 DS (TA-1017),Proprietary OS,Proprietary OS,33,15.23
FEMALE,1992,ACTIVE,Prepaid,SAMSUNG,GALAXY A7 2017 (SM-A720F),Android,Google,33,15.24
MALE,1990,ACTIVE,Prepaid,ITEL,IT2180,Proprietary OS,Proprietary OS,33,15.36
FEMALE,1985,ACTIVE,Prepaid,SYMPHONY,I21,Android,Google,33,15.73
FEMALE,1968,SUSPEND,Prepaid,WALTON,"PRIMO EF, NF, R3, RX2, E3",Android,Google,33,16.53
FEMALE,1968,ACTIVE,Prepaid,KINGSTAR,"KS-M1,KS-M2,KS-M3,KS-M5,KS-M7",Proprietary OS,Proprietary OS,33,16.66
FEMALE,1969,ACTIVE,Prepaid,KINGSTAR,"KS-M1,KS-M2,KS-M3,KS-M5,KS-M7",Proprietary OS,Proprietary OS,33,16.95
MALE,1969,ACTIVE,Prepaid,MICROMAX,Q354,Android,Google,33,17.12
MALE,1992,ACTIVE,Prepaid,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung,33,17.23
FEMALE,1969,ACTIVE,Prepaid,SAMSUNG,GALAXY J7 (SM-J730GM DS),Android,Google,33,17.29
FEMALE,1976,ACTIVE,Prepaid,OPPO,MIRROR 5 LITE (A33W),Android,Google,33,17.48
MALE,1990,ACTIVE,Prepaid,SYMPHONY,V100,Android,Google,33,17.49
MALE,1989,ACTIVE,Prepaid,VSUN,AQUA,Android,Google,33,17.65
MALE,1975,ACTIVE,Prepaid,SAMSUNG,METRO (SM-B313ED),Samsung OS,Samsung,33,17.80
FEMALE,1975,ACTIVE,Prepaid,LAVA,IRIS 505,Android,Google,33,17.86
MALE,1980,ACTIVE,Prepaid,ALCATEL,PIXI 4 (5045D),Android,Google,33,17.93
MALE,1977,ACTIVE,Prepaid,SAMSUNG,GURU MUSIC II (SM-B310E),Samsung OS,Samsung,33,17.94
MALE,1988,ACTIVE,Prepaid,SAMSUNG,GALAXY ON5 2016 (SM-G5700),Android,Google,33,18.26
MALE,1967,ACTIVE,Prepaid,SAMSUNG,GALAXY J5 2016 (SM-J510GN DS),Android,Google,33,18.61
MALE,1961,ACTIVE,Prepaid,MAXIMUS,M31,Proprietary OS,Proprietary OS,33,18.82
FEMALE,1989,ACTIVE,Prepaid,HUAWEI,MATE 9 LITE (GR5 2017),Android,Google,33,18.95
MALE,1960,ACTIVE,Prepaid,HUAWEI,ASCEND G700,Android,Google,33,18.96
FEMALE,1984,ACTIVE,Prepaid,WALTON,"PRIMO NX2, G6, D6, GH4, E5",Android,Google,33,19.12
FEMALE,1970,ACTIVE,Prepaid,NOKIA,"ASHA 206,2060",Series40,Symbian,33,19.28
MALE,1979,ACTIVE,Prepaid,MICROMAX,P681,Android,Google,33,19.31
MALE,1993,ACTIVE,Prepaid,WALTON,PRIMO EF6,Android,Google,33,19.41
MALE,1991,ACTIVE,Prepaid,SAMSUNG,GALAXY J5 DUOS (SM-J500H DS),Android,Google,33,19.73
MALE,1986,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 DUOS (SM-J200F DS),Android,Google,33,20.01
MALE,1992,ACTIVE,Prepaid,SAMSUNG,GALAXY A5 DUOS LTE-A (SM-A510FD),Android,Google,33,20.05
MALE,1971,ACTIVE,Prepaid,SAMSUNG,GALAXY WIN (SHV-E500S),Android,Google,33,20.10
MALE,1984,ACTIVE,Prepaid,SAMSUNG,GALAXY GRAND PRIME (SM-G530FZ),Android,Google,33,20.12
FEMALE,1972,ACTIVE,Prepaid,OPPO,CPH1801,Android,Google,33,20.13
MALE,1968,ACTIVE,Prepaid,SAMSUNG,GALAXY S III NEO (GT-I9301I),Android,Google,33,20.25
MALE,1987,ACTIVE,Prepaid,SAMSUNG,GALAXY J7 PRIME2 (SM-G611F DS),Android,Google,33,20.32
MALE,1994,ACTIVE,Prepaid,SAMSUNG,GALAXY S III NEO (GT-I9301I),Android,Google,33,20.83
MALE,1993,ACTIVE,Prepaid,MICROMAX,X700,Proprietary OS,Proprietary OS,33,21.71
MALE,1991,ACTIVE,Prepaid,ERICSSON,BYTWO B201,Symbian OS,Symbian,33,21.87
MALE,1963,ACTIVE,Prepaid,SAMSUNG,GALAXY J3 2016 DUOS (SM-J320F DS),Android,Google,33,24.18
MALE,1982,ACTIVE,Prepaid,SAMSUNG,GALAXY S8 PLUS DUOS (SM-G955FD),Android,Google,34,0.74
FEMALE,1981,ACTIVE,Prepaid,SAMSUNG,GALAXY J2 PRIME DUOS (SM-G532G DS),Android,Google,34,1.96
